ean;id_offer;condition;price;currency;quantity;handling_time;delivery_time_min;delivery_time_max
4899888817468;PPE-4899888817468;100;270.53;PLN;50;2;3;8
8033280490164;PPE-8033280490164;100;422.91;PLN;10;2;3;8
8445954142437;PPE-8445954142437;100;143.57;PLN;10;2;3;8
8806095893532;PPE-8806095893532;100;1700.36;PLN;2;2;3;8
8445402691920;PPE-8445402691920;100;993.23;PLN;10;2;3;8
8711252172682;PPE-8711252172682;100;289.8;PLN;18;2;3;8
5052847107904;PPE-5052847107904;100;1756.61;PLN;2;2;3;8
8445402691913;PPE-8445402691913;100;1059.86;PLN;10;2;3;8
8436603198134;PPE-8436603198134;100;282.39;PLN;2;2;3;8
4899888817345;PPE-4899888817345;100;254.3;PLN;50;2;3;8
8412842543072;PPE-8412842543072;100;410.61;PLN;50;2;3;8
3700092608937;PPE-3700092608937;100;1466.82;PLN;25;2;3;8
8445484567892;PPE-8445484567892;100;110.37;PLN;2;2;3;8
4015752494164;PPE-4015752494164;100;328.12;PLN;10;2;3;8
8445402691845;PPE-8445402691845;100;1093.14;PLN;10;2;3;8
8412842543027;PPE-8412842543027;100;182.11;PLN;50;2;3;8
8436603199933;PPE-8436603199933;100;1087.28;PLN;2;2;3;8
4899888813958;PPE-4899888813958;100;138.9;PLN;50;2;3;8
0887791773340;PPE-0887791773340;100;187.75;PLN;9;2;3;8
4899888814160;PPE-4899888814160;100;138.9;PLN;50;2;3;8
8412842631656;PPE-8412842631656;100;329.9;PLN;50;2;3;8
8412842631625;PPE-8412842631625;100;182.11;PLN;50;2;3;8
5715571507029;PPE-5715571507029;100;196.71;PLN;10;2;3;8
8413887517318;PPE-8413887517318;100;117.71;PLN;17;2;3;8
4899888792772;PPE-4899888792772;100;516.74;PLN;50;2;3;8
8435758312761;PPE-8435758312761;100;1314.96;PLN;2;2;3;8
5400974040234;PPE-5400974040234;100;1007.46;PLN;2;2;3;8
3032167509239;PPE-3032167509239;100;290.17;PLN;10;2;3;8
8412842543058;PPE-8412842543058;100;496.81;PLN;50;2;3;8
4000885582215;PPE-4000885582215;100;518.89;PLN;4;2;3;8
8008004005962;PPE-8008004005962;100;352.06;PLN;50;2;3;8
8436612940540;PPE-8436612940540;100;1014.87;PLN;4;2;3;8
8720388645885;PPE-8720388645885;100;266.68;PLN;2;2;3;8
5400974003338;PPE-5400974003338;100;1194.82;PLN;2;2;3;8
8002908472110;PPE-8002908472110;100;157.8;PLN;2;2;3;8
4000885707014;PPE-4000885707014;100;403.2;PLN;2;2;3;8
8445484567922;PPE-8445484567922;100;110.37;PLN;9;2;3;8
0887791196774;PPE-0887791196774;100;115.71;PLN;18;2;3;8
8436548248635;PPE-8436548248635;100;312.93;PLN;10;2;3;8
8436603199957;PPE-8436603199957;100;1087.28;PLN;8;2;3;8
8412842631618;PPE-8412842631618;100;182.11;PLN;50;2;3;8
5715571035812;PPE-5715571035812;100;218.87;PLN;17;2;3;8
8008004141103;PPE-8008004141103;100;327.53;PLN;50;2;3;8
4899888811251;PPE-4899888811251;100;158.17;PLN;50;2;3;8
5400974003697;PPE-5400974003697;100;1194.82;PLN;2;2;3;8
3032167509185;PPE-3032167509185;100;290.17;PLN;10;2;3;8
0887791761750;PPE-0887791761750;100;118.0;PLN;8;2;3;8
8435758312778;PPE-8435758312778;100;1314.96;PLN;2;2;3;8
8711252267562;PPE-8711252267562;100;142.98;PLN;25;2;3;8
4899888817352;PPE-4899888817352;100;180.71;PLN;50;2;3;8
5060945231926;PPE-5060945231926;100;221.99;PLN;2;2;3;8
4003318405990;PPE-4003318405990;100;648.89;PLN;2;2;3;8
3032167509215;PPE-3032167509215;100;290.17;PLN;10;2;3;8
0753759305857;PPE-0753759305857;100;1428.88;PLN;4;2;3;8
3700092608944;PPE-3700092608944;100;1619.2;PLN;25;2;3;8
4899888792789;PPE-4899888792789;100;236.22;PLN;50;2;3;8
8445484567908;PPE-8445484567908;100;110.37;PLN;9;2;3;8
4899888817529;PPE-4899888817529;100;227.1;PLN;50;2;3;8
8445402691906;PPE-8445402691906;100;1126.34;PLN;5;2;3;8
0887791196767;PPE-0887791196767;100;115.71;PLN;10;2;3;8
0773554000917;PPE-0773554000917;100;463.6;PLN;2;2;3;8
3032167509222;PPE-3032167509222;100;294.18;PLN;10;2;3;8
5715443912098;PPE-5715443912098;100;141.2;PLN;10;2;3;8
4899888817512;PPE-4899888817512;100;322.41;PLN;50;2;3;8
8436612940861;PPE-8436612940861;100;213.61;PLN;2;2;3;8
4899888740322;PPE-4899888740322;100;665.94;PLN;5;2;3;8
8412688608140;PPE-8412688608140;100;202.72;PLN;50;2;3;8
4899888812067;PPE-4899888812067;100;366.44;PLN;50;2;3;8
4899888816942;PPE-4899888816942;100;374.22;PLN;25;2;3;8
8435778900504;PPE-8435778900504;100;282.39;PLN;2;2;3;8
