ean;id_offer;condition;price;currency;quantity;handling_time;delivery_time_min;delivery_time_max
4899888792772;S8906404;100;2755.96;CZK;50;2;3;8
5060945231926;S7927196;100;1183.93;CZK;2;2;3;8
8436606906590;S0466069;100;466.9;CZK;25;2;3;8
8445402691845;S9919395;100;5830.06;CZK;10;2;3;8
8033280490102;S7930358;100;2255.54;CZK;5;2;3;8
8436603199926;S64194101;100;5798.83;CZK;2;2;3;8
8445402691906;S9919402;100;6007.14;CZK;5;2;3;8
3700628248545;S7168714;100;1294.22;CZK;25;2;3;8
8445402691937;S64194072;100;5798.83;CZK;5;2;3;8
8445402692040;S9919394;100;2648.05;CZK;10;2;3;8
8412688608140;S4313233;100;1081.16;CZK;50;2;3;8
4899888817499;S8907036;100;3014.48;CZK;25;2;3;8
8033280490164;S7930355;100;2255.54;CZK;10;2;3;8
8413887243026;S7928678;100;478.75;CZK;10;2;3;8
0753759305857;S7613156;100;7620.67;CZK;4;2;3;8
8435778900511;S64194130;100;1506.09;CZK;2;2;3;8
8445402691913;S9919398;100;5652.57;CZK;10;2;3;8
3700092608944;S71022519;100;8635.75;CZK;25;2;3;8
5400974040234;S64194206;100;5373.11;CZK;2;2;3;8
8445484567939;S2460296;100;588.64;CZK;5;2;3;8
0887791761750;S64189687;100;629.36;CZK;8;2;3;8
5400974003697;S64192615;100;6372.38;CZK;2;2;3;8
3032167509222;S71024657;100;1568.94;CZK;10;2;3;8
8033280490225;S7930361;100;2255.54;CZK;2;2;3;8
4004625550571;S71002310;100;1657.88;CZK;2;2;3;8
8445954142437;S64193608;100;765.73;CZK;10;2;3;8
4899888812067;S3633903;100;1954.34;CZK;50;2;3;8
4016224150519;M0316031;100;365.31;CZK;5;2;3;8
8435778900504;S64194131;100;1506.09;CZK;2;2;3;8
8412842543058;S8907041;100;2649.63;CZK;50;2;3;8
4899888814030;S8906692;100;740.83;CZK;50;2;3;8
8412842543027;S8907053;100;971.27;CZK;50;2;3;8
8435758312778;S64194183;100;7013.13;CZK;2;2;3;8
8806095893532;M0806204;100;9068.58;CZK;2;2;3;8
8412842543034;S8907039;100;1640.09;CZK;50;2;3;8
8436603199940;S64194100;100;5798.83;CZK;8;2;3;8
3523930110863;S71022980;100;1680.01;CZK;5;2;3;8
8436603195720;S64194046;100;1505.69;CZK;2;2;3;8
8413887517318;S7928675;100;627.78;CZK;17;2;3;8
4899888817352;S8907007;100;963.76;CZK;50;2;3;8
8436612940854;S64194120;100;1206.07;CZK;2;2;3;8
8413887790582;S7928674;100;483.5;CZK;19;2;3;8
8413887280472;S7928677;100;444.37;CZK;25;2;3;8
4899888814078;S8906700;100;740.83;CZK;50;2;3;8
8412842631625;S8906992;100;971.27;CZK;50;2;3;8
8002908468199;S64192465;100;450.69;CZK;2;2;3;8
8413887266339;S7928676;100;385.47;CZK;10;2;3;8
0887791196781;S64149701;100;698.53;CZK;5;2;3;8
4899888740322;S8902392;100;3551.66;CZK;5;2;3;8
8435778900498;S64194129;100;1422.68;CZK;2;2;3;8
8445402691982;S9919399;100;5297.22;CZK;10;2;3;8
8445402691890;S9919400;100;6007.14;CZK;10;2;3;8
5715571507029;S71022191;100;1049.14;CZK;10;2;3;8
4899888814160;S8906718;100;740.83;CZK;50;2;3;8
